path,tracked/untracked,code/evidence/candidate/temp/cache/config,required for reproducibility?,contains secrets?,should commit?,target logical commit,reason
campaigns/ingolstadt_cooked_perception_v1/candidate/verify_final_xodr_report.json,untracked,candidate,yes,no,yes,D2,repaired candidate and map verification reports
carla_governed/OSM2World-latest-bin/OSM2World.jar,untracked,temp,no,no,no,N/A,local/unclassified temp file
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/_normalized_input.xodr,untracked,candidate,yes,no,yes,D2,repaired candidate and map verification reports
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/camera_front.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/carla_screenshot_once_stderr.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/carla_screenshot_once_stdout.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/carla_status.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/ego_spawn.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/forward_alignment_diagnostics.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/lidar_bev.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/lidar_on_rgb_overlay.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/objects_placed.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/objects_placed.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/pair_manifest.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/perception_status.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/qa_spawn_report.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/real_u_proxy_metrics.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/record_route_stderr.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/record_route_stdout.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recorder_manifest.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/ego_spawn.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar/00116246.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar/00116247.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar/00116248.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar/00116249.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar/00116250.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar_old/00116246.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar_old/00116247.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar_old/00116248.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar_old/00116249.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/lidar/middle_lidar_old/00116250.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/meta/world_snapshots.jsonl,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/recorder_manifest.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/back_left_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/back_left_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/back_left_camera/00116248.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/back_right_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/back_right_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/back_right_camera/00116248.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/front_left_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/front_left_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/front_left_camera/00116248.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/front_right_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/front_right_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/front_right_camera/00116248.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/left_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/left_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/right_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/right_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rgb/right_camera/00116248.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/rig_validation.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/run_info.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_back_left_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_back_left_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_back_left_camera/00116248.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_back_right_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_front_left_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_front_left_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_front_right_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_front_right_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_left_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_right_camera/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/semseg_raw/semseg_right_camera/00116247.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/sensor_rig_report.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/sensor_transforms.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/thesis_rig_report.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording/tick_watchdog.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/recording_summary.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/rig_verification.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/run_info.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/scene_readiness_report.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/screenshot_result.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/screenshots/00116246.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/screenshots/00116248.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/screenshots/camera_front.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/screenshots/lidar_bev.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/sensor_rig_report.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/spawn_sanity_objects_stderr.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/spawn_sanity_objects_stdout.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke/write_integrity_status.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/_normalized_input.xodr,untracked,candidate,yes,no,yes,D2,repaired candidate and map verification reports
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/camera_front.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/carla_screenshot_once_stderr.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/carla_screenshot_once_stdout.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/carla_status.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/ego_spawn.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/forward_alignment_diagnostics.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/lidar_bev.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/lidar_on_rgb_overlay.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/objects_placed.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/objects_placed.png,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/pair_manifest.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/perception_status.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/qa_spawn_report.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/real_u_proxy_metrics.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/record_route_stderr.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/record_route_stdout.txt,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recorder_manifest.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/capture_status.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/ego_spawn.json,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116142.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116143.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116144.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116145.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116146.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116147.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116148.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116206.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116207.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116208.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116209.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116210.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116211.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar/00116212.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar_old/00116142.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar_old/00116143.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar_old/00116144.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar_old/00116145.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
carla_governed/artifacts/final_runs/scenario_b_audit/evidence/generated_smoke_pre_semseg_fix_20260309_2058/recording/lidar/middle_lidar_old/00116146.ply,untracked,evidence,yes,no,yes,D5,verification and independent governance audit evidence
