osm_id,classification,c2b_disposition,alignment,length_m,road_id,lane_id,aligned_run_m,mean_eff_dist_m,proof
23066313,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45959/-2 aligned 12.0 m,428.28,45959,-2,12.0,2.763,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23066459,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,24.82,45958,-2,10.0,2.255,"runs inside existing sidewalk lane 45958/-2 (s=0.0 m, w=2.8 m) for 10.0 m; lane already present - nothing new authored (no duplication)"
23084968,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45886/-2 aligned 10.0 m,341.79,45886,-2,10.0,2.887,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23101623,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,570.29,49502,-2,32.0,3.164,"runs inside existing sidewalk lane 49502/-2 (s=0.0 m, w=2.8 m) for 32.0 m; lane already present - nothing new authored (no duplication)"
23114857,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45934/-2 aligned 8.0 m,81.2,45934,-2,8.0,2.383,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23183710,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 42991/-2 aligned 12.0 m,269.02,42991,-2,12.0,2.644,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23183814,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 43794/-2 aligned 4.0 m,96.96,43794,-2,4.0,1.953,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23183945,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 43386/-2 aligned 8.0 m,135.4,43386,-2,8.0,2.339,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23184470,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 47881/-2 aligned 10.0 m,37.17,47881,-2,10.0,2.934,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23206050,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45943/-2 aligned 10.0 m,46.3,45943,-2,10.0,2.892,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23206138,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45476/-2 aligned 10.0 m,372.99,45476,-2,10.0,2.656,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23206158,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45794/-2 aligned 12.0 m,38.46,45794,-2,12.0,2.481,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23206243,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,58.54,46015,-2,28.0,2.701,"runs inside existing sidewalk lane 46015/-2 (s=0.0 m, w=2.8 m) for 28.0 m; lane already present - nothing new authored (no duplication)"
23206337,FOOTWAY,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,873.84,46017,-2,20.0,2.927,"runs inside existing sidewalk lane 46017/-2 (s=0.0 m, w=2.8 m) for 20.0 m; lane already present - nothing new authored (no duplication)"
23206520,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,15.73,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23206611,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 54052/-2 aligned 10.0 m,162.05,54052,-2,10.0,2.515,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23232019,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,24.77,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23232117,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,35.33,55011,-2,16.0,2.839,"runs inside existing sidewalk lane 55011/-2 (s=0.0 m, w=2.8 m) for 16.0 m; lane already present - nothing new authored (no duplication)"
23232740,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,288.16,40696,-1,24.0,2.37,"runs inside existing sidewalk lane 40696/-1 (s=0.0 m, w=3.2 m) for 24.0 m; lane already present - nothing new authored (no duplication)"
23232791,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,156.6,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23232963,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,85.97,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23233088,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,49.49,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23233091,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 46058/-2 aligned 10.0 m,101.95,46058,-2,10.0,2.954,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23233155,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,152.4,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23291925,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 55180/-3 aligned 10.0 m,126.29,55180,-3,10.0,2.54,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23618077,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,525.55,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23622151,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 48751/-2 aligned 6.0 m,34.56,48751,-2,6.0,2.64,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23740927,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,48.37,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23741042,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,11.46,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23741054,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,962.93,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23939757,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 52737/-2 aligned 14.0 m,489.58,52737,-2,14.0,3.224,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24495402,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,20.45,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24495424,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,46.83,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24495576,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,15.38,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24497947,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 55256/-2 aligned 10.0 m,393.63,55256,-2,10.0,2.801,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24497987,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,789.63,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24527596,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,1628.06,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24579862,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,14.89,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24579865,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,24.2,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24692095,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,43.65,44986,-2,12.0,2.345,"runs inside existing sidewalk lane 44986/-2 (s=0.0 m, w=2.8 m) for 12.0 m; lane already present - nothing new authored (no duplication)"
24693681,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 40324/-1 aligned 6.0 m,148.13,40324,-1,6.0,2.119,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24693801,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,17.09,47787,-2,12.0,2.365,"runs inside existing sidewalk lane 47787/-2 (s=0.0 m, w=2.8 m) for 12.0 m; lane already present - nothing new authored (no duplication)"
24733685,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,31.26,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24733884,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 46878/-2 aligned 10.0 m,119.93,46878,-2,10.0,2.912,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24762382,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 42883/-2 aligned 12.0 m,78.25,42883,-2,12.0,2.653,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24762407,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,33.37,49327,-2,38.0,2.475,"runs inside existing sidewalk lane 49327/-2 (s=0.0 m, w=2.8 m) for 38.0 m; lane already present - nothing new authored (no duplication)"
24762493,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,6.23,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24762499,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,28.54,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24762540,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,165.72,49048,-3,170.0,4.764,"runs inside existing sidewalk lane 49048/-3 (s=0.0 m, w=2.8 m) for 170.0 m; lane already present - nothing new authored (no duplication)"
24882615,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 41514/-2 aligned 12.0 m,326.3,41514,-2,12.0,2.553,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24882616,FOOTWAY,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,627.48,46367,-2,62.0,3.816,"runs inside existing sidewalk lane 46367/-2 (s=0.0 m, w=2.8 m) for 62.0 m; lane already present - nothing new authored (no duplication)"
24971167,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 40505/-2 aligned 10.0 m,537.31,40505,-2,10.0,2.977,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24971168,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,171.47,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24972349,SIDEWALK,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,121.31,45067,-2,126.0,1.278,"runs inside existing sidewalk lane 45067/-2 (s=0.0 m, w=2.8 m) for 126.0 m; lane already present - nothing new authored (no duplication)"
24972360,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45067/-2 aligned 6.0 m,87.22,45067,-2,6.0,2.628,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24972366,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,37.17,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24972369,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45067/-2 aligned 4.0 m,84.96,45067,-2,4.0,1.842,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24972435,SIDEWALK,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,131.8,45059,-2,136.0,2.729,"runs inside existing sidewalk lane 45059/-2 (s=0.0 m, w=2.8 m) for 136.0 m; lane already present - nothing new authored (no duplication)"
24972436,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45059/-2 aligned 8.0 m,50.47,45059,-2,8.0,2.363,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24972442,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45059/-2 aligned 8.0 m,74.66,45059,-2,8.0,2.317,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24972450,SIDEWALK,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,73.16,40365,-2,74.0,4.19,"runs inside existing sidewalk lane 40365/-2 (s=0.0 m, w=2.8 m) for 74.0 m; lane already present - nothing new authored (no duplication)"
24972474,FOOTWAY,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,57.98,45065,-2,54.0,2.045,"runs inside existing sidewalk lane 45065/-2 (s=0.0 m, w=2.8 m) for 54.0 m; lane already present - nothing new authored (no duplication)"
24972511,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,31.66,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24982879,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 40367/-2 aligned 10.0 m,70.48,40367,-2,10.0,2.478,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24982993,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 70361/-2 aligned 4.0 m,449.44,70361,-2,4.0,2.4,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24991525,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,117.94,56999,-2,22.0,1.696,"runs inside existing sidewalk lane 56999/-2 (s=0.0 m, w=2.8 m) for 22.0 m; lane already present - nothing new authored (no duplication)"
24994383,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 41441/-2 aligned 8.0 m,19.38,41441,-2,8.0,2.276,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24997838,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,64.06,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
24997881,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,18.47,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25000197,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,122.06,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25000445,FOOTWAY,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,69.99,42218,-4,20.0,2.76,"runs inside existing sidewalk lane 42218/-4 (s=0.0 m, w=2.8 m) for 20.0 m; lane already present - nothing new authored (no duplication)"
25000521,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,102.26,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25000550,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,144.97,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25000573,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 59847/-3 aligned 4.0 m,103.07,59847,-3,4.0,3.082,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25000596,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,142.7,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25000598,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,57.38,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25000738,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,77.56,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25000962,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 41531/-2 aligned 4.0 m,68.15,41531,-2,4.0,2.627,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25008632,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,45.73,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25009942,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,220.27,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25012922,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,12.5,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25114065,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,56.13,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25114068,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,65.92,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25117433,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,396.7,49308,-3,388.0,1.834,"runs inside existing sidewalk lane 49308/-3 (s=0.0 m, w=2.8 m) for 388.0 m; lane already present - nothing new authored (no duplication)"
25122802,FOOTWAY,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,23.52,49411,-2,10.0,2.94,"runs inside existing sidewalk lane 49411/-2 (s=0.0 m, w=2.8 m) for 10.0 m; lane already present - nothing new authored (no duplication)"
25135951,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,42.84,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25135952,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,104.35,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25135955,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,57.49,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25138114,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 43629/-2 aligned 4.0 m,77.57,43629,-2,4.0,2.605,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25138115,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 42967/-1 aligned 6.0 m,76.91,42967,-1,6.0,2.168,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25138541,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,10.27,44089,-1,12.0,2.814,"runs inside existing sidewalk lane 44089/-1 (s=0.0 m, w=3.2 m) for 12.0 m; lane already present - nothing new authored (no duplication)"
25148616,FOOTWAY,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,225.61,49641,-3,58.0,3.977,"runs inside existing sidewalk lane 49641/-3 (s=0.0 m, w=2.8 m) for 58.0 m; lane already present - nothing new authored (no duplication)"
25148646,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,55.8,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25148648,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,126.51,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25148676,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,83.14,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25148688,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 44711/-3 aligned 10.0 m,69.52,44711,-3,10.0,2.721,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25148693,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 43975/-3 aligned 2.0 m,528.35,43975,-3,2.0,4.439,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25148697,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,14.12,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25148983,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,241.89,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25149179,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,23.32,69872,-2,10.0,1.661,"runs inside existing sidewalk lane 69872/-2 (s=0.0 m, w=2.8 m) for 10.0 m; lane already present - nothing new authored (no duplication)"
25149194,FOOTWAY,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,1.64,45261,-4,2.0,1.338,"runs inside existing sidewalk lane 45261/-4 (s=0.0 m, w=2.8 m) for 2.0 m; lane already present - nothing new authored (no duplication)"
25149244,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,8.97,43975,-3,8.0,2.172,"runs inside existing sidewalk lane 43975/-3 (s=0.0 m, w=2.8 m) for 8.0 m; lane already present - nothing new authored (no duplication)"
25149494,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,12.89,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25149513,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 43976/-2 aligned 10.0 m,110.08,43976,-2,10.0,2.804,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
25149536,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,227.27,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
